상가업소번호	상호명	지점명	상권업종대분류코드	상권업종대분류명	상권업종중분류코드	상권업종중분류명	상권업종소분류코드	상권업종소분류명	표준산업분류코드	표준산업분류명	시도코드	시도명	시군구코드	시군구명	행정동코드	행정동명	법정동코드	법정동명	지번코드	대지구분코드	대지구분명	지번본번지	지번부번지	지번주소	도로명코드	도로명	건물본번지	건물부번지	건물관리번호	건물명	도로명주소	구우편번호	신우편번호	동정보	층정보	호정보	경도	위도
17529675	용감한치킨		Q	음식	Q09	유흥주점	Q09A01	호프/맥주	I56219	기타 주점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	180		경기도 성남시 분당구 정자동 180	4.11353E+11	경기도 성남시 분당구 정자일로	100		4.11351E+24	미켈란쉐르빌	경기도 성남시 분당구 정자일로 100	463858	13562		1		127.1076182	37.35872631
17484328	르하임스터디카페	수원정자점	R	학문/교육	R10	도서관/독서실	R10A01	독서실	R90212	독서실 운영업	41	경기도	41111	수원시 장안구	4111157300	정자3동	4111113000	정자동	4.11111E+18	1	대지	876	5	경기도 수원시 장안구 정자동 876-5	4.11114E+11	경기도 수원시 장안구 정자천로173번길	11	10	4.11111E+24	뱅뱅프라자	경기도 수원시 장안구 정자천로173번길 11-10	440841	16334		5		126.9940509	37.29573071
17455054	숙달돼지2별관		Q	음식	Q01	한식	Q01A99	기타고기요리	I56111	한식 음식점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	157	4	경기도 성남시 분당구 정자동 157-4	4.11354E+11	경기도 성남시 분당구 성남대로331번길	9	9	4.11351E+24	석우재	경기도 성남시 분당구 성남대로331번길 9-9	463867	13558		1		127.1070837	37.36477754
17466488	그람		Q	음식	Q06	양식	Q06A01	정통양식/경양식	I56114	서양식 음식점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	156	1	경기도 성남시 분당구 정자동 156-1	4.11354E+11	경기도 성남시 분당구 성남대로331번길	3	3	4.11351E+24	젤존타워III	경기도 성남시 분당구 성남대로331번길 3-3	463867	13558		3		127.1076868	37.36532274
17466454	생고기대학교		Q	음식	Q07	패스트푸드	Q07A04	패스트푸드	I56199	그외 기타 음식점업	41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	129	1	경기도 성남시 분당구 정자동 129-1	4.11354E+11	경기도 성남시 분당구 내정로31번길	7	5	4.11351E+24		경기도 성남시 분당구 내정로31번길 7-5	463834	13612		1		127.1138729	37.36248579
17466293	리썸		Q	음식	Q09	유흥주점	Q09A08	빠/카페/스탠드빠	I56211	일반유흥 주점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	155	2	경기도 성남시 분당구 정자동 155-2	4.11353E+11	경기도 성남시 분당구 정자로	13		4.11351E+24	월드비터	경기도 성남시 분당구 정자로 13	463834	13558		5		127.106306	37.3637174
17466499	공치킨		Q	음식	Q09	유흥주점	Q09A01	호프/맥주	I56219	기타 주점업	41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	37	2	경기도 성남시 분당구 정자동 37-2	4.11354E+11	경기도 성남시 분당구 백현로144번길	16		4.11351E+24		경기도 성남시 분당구 백현로144번길 16	463848	13609		1		127.1128625	37.3725613
17466953	리틀사이공런	분당점	Q	음식	Q10	별식/퓨전요리	Q10A08	동남아음식전문점	I56119	기타 외국식 음식점업	41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	37	2	경기도 성남시 분당구 정자동 37-2	4.11354E+11	경기도 성남시 분당구 백현로144번길	16		4.11351E+24		경기도 성남시 분당구 백현로144번길 16	463848	13609		1		127.1128625	37.3725613
17466553	닐리파스타		Q	음식	Q09	유흥주점	Q09A01	호프/맥주	I56219	기타 주점업	41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	132	4	경기도 성남시 분당구 정자동 132-4	4.11354E+11	경기도 성남시 분당구 불정로87번길	10		4.11351E+24		경기도 성남시 분당구 불정로87번길 10	463834	13612		1		127.1145116	37.36096774
17466425	옥클린		F	생활서비스	F02	세탁/가사서비스	F02A05	청소/소독			41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	18	4	경기도 성남시 분당구 정자동 18-4	4.11354E+11	경기도 성남시 분당구 성남대로343번길	10	6	4.11351E+24		경기도 성남시 분당구 성남대로343번길 10-6	463847	13558		3		127.1070665	37.36717428
